Country of,Number 2019P,,,,,,,,,,,,,Number 2018R,,,,,,,,,,,,,%CH (Y-o-Y),,,,,,,,,,,,,,Country of,Receipt 2019R (Million Baht),,,,,,,,,,,,,Receipt 2018R (Million Baht),,,,,,,,,,,,,%CH (Y-o-Y),,,,,,,,,,,,
Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Aug,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Aug,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Aug,,Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Aug,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Aug,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Aug
East  Asia," 2,310,817 "," 2,359,560 "," 2,262,049 "," 2,186,827 "," 2,032,301 "," 2,250,544 "," 2,369,743 "," 2,561,838 ",,,,," 18,333,679 ","2,137,049","2,331,452","2,254,202","2,153,431","2,032,041","2,273,029","2,225,226","2,338,919","1,928,014","1,839,093","2,028,421","2,429,979","17,745,349",+ 8.13,+ 1.21,+ 0.35,+ 1.55,+ 0.01,- 0.99,+ 6.49,+ 9.53,- 100.00,- 100.00,- 100.00,- 100.00,+ 3.32,,East  Asia," 99,711.60 "," 100,351.53 "," 95,310.80 "," 84,339.86 "," 76,935.36 "," 83,510.46 "," 101,958.29 "," 109,769.81 ",,,,," 751,887.71 "," 89,241.43 "," 98,961.13 "," 93,150.91 "," 82,024.62 "," 76,840.55 "," 84,253.53 "," 95,868.94 "," 99,121.29 "," 80,011.27 "," 75,942.49 "," 83,006.67 "," 98,996.79 "," 719,462.40 ",+ 11.73,+ 1.40,+ 2.32,+ 2.82,+ 0.12,- 0.88,+ 6.35,+ 10.74,- 100.00,- 100.00,- 100.00,- 100.00,+ 4.51
ASEAN," 745,480 "," 788,110 "," 828,582 "," 857,164 "," 860,223 "," 968,904 "," 898,006 "," 942,776 ",,,,," 6,889,245 ","714,818","695,598","804,369","796,947","789,247","943,754","838,922","927,095","856,153","806,965","914,984","1,102,539","6,510,750",+ 4.29,+ 13.30,+ 3.01,+ 7.56,+ 8.99,+ 2.66,+ 7.04,+ 1.69,- 100.00,- 100.00,- 100.00,- 100.00,+ 5.81,,ASEAN," 22,920.73 "," 24,052.59 "," 25,369.56 "," 25,119.83 "," 25,395.74 "," 28,212.69 "," 27,629.67 "," 28,698.60 ",,,,," 207,399.41 "," 21,834.04 "," 20,911.95 "," 24,338.04 "," 22,886.34 "," 23,069.34 "," 27,036.38 "," 26,365.97 "," 28,806.11 "," 26,624.73 "," 26,032.17 "," 29,206.36 "," 34,863.85 "," 195,248.17 ",+ 4.98,+ 15.02,+ 4.24,+ 9.76,+ 10.08,+ 4.35,+ 4.79,- 0.37,- 100.00,- 100.00,- 100.00,- 100.00,+ 6.22
Brunei," 1,149 ", 973 ," 1,931 "," 1,224 ", 826 ," 1,071 "," 1,374 "," 1,095 ",,,,," 9,643 ","1,104",799,"1,595","1,044",886,961,"1,048","1,041","1,269",862,"1,176","2,475","8,478",+ 4.08,+ 21.78,+ 21.07,+ 17.24,- 6.77,+ 11.45,+ 31.11,+ 5.19,- 100.00,- 100.00,- 100.00,- 100.00,+ 13.74,,Brunei, 56.87 , 45.86 , 90.69 , 60.82 , 40.65 , 50.26 , 52.82 , 41.78 ,,,,, 439.75 , 50.45 , 36.51 , 72.89 , 48.42 , 41.09 , 44.57 , 41.36 , 41.09 , 50.09 , 42.92 , 58.55 , 123.22 , 376.38 ,+ 12.73,+ 25.61,+ 24.42,+ 25.61,- 1.07,+ 12.77,+ 27.71,+ 1.68,- 100.00,- 100.00,- 100.00,- 100.00,+ 16.84
Cambodia," 74,993 "," 67,799 "," 68,902 "," 73,594 "," 84,825 "," 64,413 "," 66,960 "," 78,513 ",,,,," 579,999 ","94,120","65,487","73,023","73,974","80,594","68,322","75,944","85,223","88,274","81,236","76,284","86,343","616,687",- 20.32,+ 3.53,- 5.64,- 0.51,+ 5.25,- 5.72,- 11.83,- 7.87,- 100.00,- 100.00,- 100.00,- 100.00,- 5.95,,Cambodia," 2,809.86 "," 2,538.10 "," 2,546.49 "," 3,038.73 "," 3,685.60 "," 2,630.18 "," 2,755.10 "," 3,222.89 ",,,,," 23,226.95 "," 3,382.98 "," 2,353.82 "," 2,624.68 "," 2,963.28 "," 3,228.48 "," 2,736.87 "," 3,186.49 "," 3,575.81 "," 3,703.83 "," 2,888.27 "," 2,712.21 "," 3,069.83 "," 24,052.41 ",- 16.94,+ 7.83,- 2.98,+ 2.55,+ 14.16,- 3.90,- 13.54,- 9.87,- 100.00,- 100.00,- 100.00,- 100.00,- 3.43
Indonesia," 54,970 "," 50,015 "," 61,340 "," 58,967 "," 46,618 "," 74,747 "," 66,677 "," 56,601 ",,,,," 469,935 ","47,416","44,465","52,253","48,404","47,973","72,712","57,178","52,732","50,798","51,138","57,736","61,904","423,133",+ 15.93,+ 12.48,+ 17.39,+ 21.82,- 2.82,+ 2.80,+ 16.61,+ 7.34,- 100.00,- 100.00,- 100.00,- 100.00,+ 11.06,,Indonesia," 1,389.68 "," 1,275.71 "," 1,576.22 "," 1,435.13 "," 1,124.23 "," 1,781.50 "," 1,848.71 "," 1,563.58 ",,,,," 11,994.76 "," 1,243.83 "," 1,166.42 "," 1,370.71 "," 1,200.70 "," 1,190.00 "," 1,803.68 "," 1,680.25 "," 1,549.60 "," 1,492.76 "," 1,374.88 "," 1,552.26 "," 1,664.33 "," 11,205.19 ",+ 11.73,+ 9.37,+ 14.99,+ 19.52,- 5.53,- 1.23,+ 10.03,+ 0.90,- 100.00,- 100.00,- 100.00,- 100.00,+ 7.05
Laos," 149,196 "," 137,264 "," 138,662 "," 145,484 "," 147,804 "," 167,931 "," 169,872 "," 165,902 ",,,,," 1,222,115 ","133,334","125,890","135,321","138,376","127,418","137,627","146,076","151,244","138,096","143,979","136,095","151,174","1,095,286",+ 11.90,+ 9.03,+ 2.47,+ 5.14,+ 16.00,+ 22.02,+ 16.29,+ 9.69,- 100.00,- 100.00,- 100.00,- 100.00,+ 11.58,,Laos," 4,499.03 "," 4,251.72 "," 4,283.37 "," 3,538.85 "," 3,632.21 "," 4,074.60 "," 5,274.87 "," 5,150.38 ",,,,," 34,705.03 "," 4,029.87 "," 3,804.90 "," 4,089.93 "," 3,254.01 "," 2,996.13 "," 3,236.17 "," 4,609.34 "," 4,772.43 "," 4,360.09 "," 4,806.02 "," 4,542.86 "," 5,046.19 "," 30,792.78 ",+ 11.64,+ 11.74,+ 4.73,+ 8.75,+ 21.23,+ 25.91,+ 14.44,+ 7.92,- 100.00,- 100.00,- 100.00,- 100.00,+ 12.71
Malaysia," 272,360 "," 324,724 "," 318,613 "," 329,013 "," 336,127 "," 349,190 "," 314,981 "," 384,245 ",,,,," 2,629,253 ","247,936","272,351","300,793","304,891","279,910","368,935","293,434","377,822","358,781","305,690","389,881","520,102","2,446,072",+ 9.85,+ 19.23,+ 5.92,+ 7.91,+ 20.08,- 5.35,+ 7.34,+ 1.70,- 100.00,- 100.00,- 100.00,- 100.00,+ 7.49,,Malaysia," 7,123.23 "," 8,580.67 "," 8,352.05 "," 8,039.54 "," 8,219.44 "," 8,538.02 "," 8,203.76 "," 9,981.46 ",,,,," 67,038.17 "," 6,409.04 "," 7,039.67 "," 7,774.31 "," 7,242.76 "," 6,649.73 "," 8,763.10 "," 7,692.97 "," 9,906.27 "," 9,407.03 "," 8,193.94 "," 10,455.06 "," 13,965.16 "," 61,477.85 ",+ 11.14,+ 21.89,+ 7.43,+ 11.00,+ 23.61,- 2.57,+ 6.64,+ 0.76,- 100.00,- 100.00,- 100.00,- 100.00,+ 9.04
Myanmar," 29,504 "," 28,815 "," 33,354 "," 37,526 "," 32,467 "," 29,616 "," 31,796 "," 27,093 ",,,,," 250,171 ","28,639","26,757","33,016","34,535","33,315","26,786","29,877","28,286","27,369","31,154","30,914","37,540","241,211",+ 3.02,+ 7.69,+ 1.02,+ 8.66,- 2.55,+ 10.57,+ 6.42,- 4.22,- 100.00,- 100.00,- 100.00,- 100.00,+ 3.71,,Myanmar," 1,155.48 "," 1,070.32 "," 1,222.35 "," 1,336.85 "," 1,148.96 "," 1,042.24 "," 1,181.75 "," 1,021.49 ",,,,," 9,179.44 "," 1,090.45 "," 1,018.79 "," 1,257.11 "," 1,202.59 "," 1,160.10 ", 932.75 ," 1,148.58 "," 1,087.41 "," 1,052.16 "," 1,483.55 "," 1,472.13 "," 1,787.65 "," 8,897.78 ",+ 5.96,+ 5.06,- 2.77,+ 11.16,- 0.96,+ 11.74,+ 2.89,- 6.06,- 100.00,- 100.00,- 100.00,- 100.00,+ 3.17
Philippines," 32,448 "," 32,225 "," 37,612 "," 46,198 "," 42,278 "," 45,207 "," 43,683 "," 44,955 ",,,,," 324,606 ","28,739","25,526","32,002","36,477","41,833","37,945","36,975","39,589","34,184","40,493","39,981","38,493","279,086",+ 12.91,+ 26.24,+ 17.53,+ 26.65,+ 1.06,+ 19.14,+ 18.14,+ 13.55,- 100.00,- 100.00,- 100.00,- 100.00,+ 16.31,,Philippines," 1,432.91 "," 1,438.63 "," 1,692.85 "," 1,741.77 "," 1,579.34 "," 1,681.89 "," 1,679.31 "," 1,708.31 ",,,,," 12,955.01 "," 1,254.41 "," 1,114.17 "," 1,396.84 "," 1,390.96 "," 1,595.19 "," 1,446.93 "," 1,443.32 "," 1,545.37 "," 1,334.38 "," 1,690.91 "," 1,669.52 "," 1,607.39 "," 11,187.19 ",+ 14.23,+ 29.12,+ 21.19,+ 25.22,- 0.99,+ 16.24,+ 16.35,+ 10.54,- 100.00,- 100.00,- 100.00,- 100.00,+ 15.80
Singapore," 74,668 "," 70,649 "," 85,402 "," 70,913 "," 77,978 "," 111,191 "," 76,652 "," 84,342 ",,,,," 651,795 ","74,741","70,815","93,737","69,967","85,264","108,478","76,166","88,576","82,108","78,840","107,676","133,499","667,744",- 0.10,- 0.23,- 8.89,+ 1.35,- 8.55,+ 2.50,+ 0.64,- 4.78,- 100.00,- 100.00,- 100.00,- 100.00,- 2.39,,Singapore," 2,675.59 "," 2,528.75 "," 3,046.63 "," 2,508.61 "," 2,754.86 "," 3,900.99 "," 2,551.65 "," 2,765.08 ",,,,," 22,732.16 "," 2,608.26 "," 2,471.25 "," 3,271.17 "," 2,407.04 "," 2,933.30 "," 3,731.93 "," 2,577.77 "," 2,982.79 "," 2,769.61 "," 3,107.79 "," 4,244.47 "," 5,241.35 "," 22,983.51 ",+ 2.58,+ 2.33,- 6.86,+ 4.22,- 6.08,+ 4.53,- 1.01,- 7.30,- 100.00,- 100.00,- 100.00,- 100.00,- 1.09
